IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
2606:4700:0:2159:93c3:2642:2830:5e75,4,4,0.00,214.81,51.96
2606:4700:0:2159:93c3:2616:4665:ed9c,4,4,0.00,215.10,19.24
2606:4700:0:a9:cfd8:749f:4054:bf1,4,4,0.00,215.15,18.41
2606:4700:0:2159:931a:56e8:b954:f7b2,4,4,0.00,213.45,18.20
2606:4700:0:f131:a705:903a:154:a812,4,4,0.00,215.74,13.90
2606:4700:0:f131:a74d:4f5:7c16:94d4,4,4,0.00,214.63,13.01
2606:4700:0:f131:a7ac:10c9:ce42:81af,4,4,0.00,212.77,11.92
2606:4700:0:f131:3e5d:a25f:ba92:7872,4,4,0.00,215.30,10.99
2606:4700:0:a9:cfd8:7439:1d38:3cbe,4,4,0.00,210.16,5.23
2606:4700:0:f131:a7ac:1042:ac1f:e690,4,4,0.00,215.58,1.81
