IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s),国家代码
8.212.12.98,4,4,0.00,59.19,0.00,HK
47.57.245.232,4,4,0.00,61.02,0.00,HK
8.212.65.162,4,4,0.00,61.86,0.00,HK
8.212.14.90,4,4,0.00,62.85,0.00,HK
47.242.218.87,4,4,0.00,82.35,0.00,HK
8.219.236.218,4,4,0.00,90.86,0.00,SG
8.219.254.1,4,4,0.00,91.22,0.00,SG
8.219.63.79,4,4,0.00,92.56,0.00,SG
8.219.245.214,4,4,0.00,92.70,0.00,SG
8.219.255.49,4,4,0.00,93.56,0.00,SG
132.145.94.80,4,4,0.00,94.50,0.00,KR
8.219.228.81,4,4,0.00,94.62,0.00,SG
8.219.243.132,4,4,0.00,94.89,0.00,SG
8.219.97.248,4,4,0.00,95.27,0.00,SG
129.154.202.229,4,4,0.00,95.62,0.00,KR
152.70.253.44,4,4,0.00,96.79,0.00,KR
131.186.27.112,4,4,0.00,97.13,0.00,KR
146.56.110.3,4,4,0.00,98.99,0.00,KR
146.56.96.206,4,4,0.00,99.02,0.00,KR
144.24.95.220,4,4,0.00,99.35,0.00,KR
158.180.75.201,4,4,0.00,99.64,0.00,KR
8.220.134.136,4,4,0.00,105.39,0.00,TR
193.123.254.142,4,4,0.00,123.66,0.00,KR
132.226.234.102,4,4,0.00,124.08,0.00,KR
152.67.190.105,4,4,0.00,141.60,0.00,IN
141.148.203.6,4,4,0.00,145.91,0.00,IN
155.248.248.205,4,4,0.00,146.70,0.00,IN
144.24.140.37,4,4,0.00,146.75,0.00,IN
152.70.234.185,4,4,0.00,154.40,0.00,KR
132.226.16.97,4,4,0.00,155.07,0.00,KR
141.144.196.32,4,4,0.00,175.23,0.00,NL
192.9.180.162,4,4,0.00,181.54,0.00,AU
152.70.240.162,4,4,0.00,181.88,0.00,KR
132.226.22.204,4,4,0.00,185.64,0.00,KR
130.61.124.127,4,4,0.00,188.21,0.00,DE
155.248.170.249,4,4,0.00,200.47,0.00,JP
150.230.218.53,4,4,0.00,201.63,0.00,JP
150.230.204.132,4,4,0.00,201.63,0.00,JP
155.248.178.95,4,4,0.00,202.40,0.00,JP
155.248.182.161,4,4,0.00,203.44,0.00,JP
155.248.169.118,4,4,0.00,203.69,0.00,JP
140.238.58.181,4,4,0.00,203.71,0.00,JP
141.144.198.121,4,4,0.00,204.41,0.00,NL
150.230.198.167,4,4,0.00,204.60,0.00,JP
141.147.160.166,4,4,0.00,204.83,0.00,JP
193.123.35.178,4,4,0.00,205.73,0.00,NL
141.147.71.187,4,4,0.00,205.90,0.00,GB
141.144.198.93,4,4,0.00,206.39,0.00,NL
141.144.197.136,4,4,0.00,210.05,0.00,NL
150.230.63.93,4,4,0.00,210.94,0.00,JP
141.147.147.28,4,4,0.00,210.97,0.00,JP
47.254.86.133,4,4,0.00,211.80,0.00,US
152.70.59.138,4,4,0.00,211.99,0.00,NL
140.238.31.168,4,4,0.00,213.03,0.00,KR
141.145.205.115,4,4,0.00,213.44,0.00,FR
141.148.230.120,4,4,0.00,215.64,0.00,NL
138.2.81.71,4,4,0.00,224.27,0.00,SG
8.222.139.227,4,4,0.00,225.37,0.00,SG
8.222.169.19,4,4,0.00,225.79,0.00,SG
168.138.165.174,4,4,0.00,226.01,0.00,SG
8.222.165.104,4,4,0.00,226.27,0.00,SG
129.150.53.218,4,4,0.00,227.70,0.00,SG
152.67.142.42,4,4,0.00,229.75,0.00,GB
150.230.123.106,4,4,0.00,232.16,0.00,GB
8.222.213.251,4,4,0.00,232.39,0.00,SG
8.222.219.140,4,4,0.00,232.53,0.00,SG
8.222.223.112,4,4,0.00,232.53,0.00,SG
8.222.255.80,4,4,0.00,232.61,0.00,SG
141.147.71.121,4,4,0.00,232.96,0.00,GB
47.74.155.26,4,4,0.00,233.36,0.00,SG
144.21.40.27,4,4,0.00,237.71,0.00,NL
129.151.198.3,4,4,0.00,237.92,0.00,SE
141.148.235.197,4,4,0.00,241.30,0.00,NL
143.47.185.27,4,4,0.00,242.86,0.00,NL
143.47.189.30,4,4,0.00,245.64,0.00,NL
141.148.230.89,4,4,0.00,248.17,0.00,NL
158.180.231.216,4,4,0.00,251.12,0.00,IT
152.67.140.249,4,4,0.00,251.29,0.00,GB
150.230.121.114,4,4,0.00,254.30,0.00,GB
143.47.247.120,4,4,0.00,254.32,0.00,GB
130.162.165.64,4,4,0.00,255.11,0.00,GB
150.230.118.203,4,4,0.00,255.20,0.00,GB
143.47.183.52,4,4,0.00,258.34,0.00,NL
130.162.174.117,4,4,0.00,261.90,0.00,GB
150.136.87.192,4,4,0.00,264.10,0.00,US
143.47.235.216,4,4,0.00,266.02,0.00,GB
141.148.245.210,4,4,0.00,269.45,0.00,NL
152.67.151.176,4,4,0.00,273.95,0.00,GB
144.21.59.145,4,4,0.00,275.81,0.00,GB
141.147.85.167,4,4,0.00,278.76,0.00,GB
152.70.51.3,4,4,0.00,281.61,0.00,NL
144.22.252.124,4,4,0.00,377.21,0.00,BR
193.122.58.158,4,3,0.25,201.45,0.00,DE
144.21.42.2,4,3,0.25,205.34,0.00,NL
130.162.209.188,4,3,0.25,211.60,0.00,DE
141.148.189.124,4,3,0.25,214.48,0.00,US
141.147.47.32,4,3,0.25,236.04,0.00,DE
150.230.146.170,4,3,0.25,254.90,0.00,DE
47.253.171.149,4,3,0.25,266.66,0.00,US
144.24.174.149,4,3,0.25,266.84,0.00,DE
132.145.245.100,4,3,0.25,271.15,0.00,DE
150.230.22.224,4,3,0.25,297.80,0.00,NL
132.226.163.224,4,3,0.25,390.73,0.00,BR
129.153.203.62,4,2,0.50,213.80,0.00,US
129.158.198.241,4,2,0.50,291.06,0.00,US
