IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
141.101.122.37,4,4,0.00,197.57,0.00
141.101.120.212,4,4,0.00,224.68,0.00
190.93.246.230,4,4,0.00,231.84,0.00
141.101.121.192,4,4,0.00,240.81,0.00
141.101.90.231,4,4,0.00,241.66,0.00
141.101.113.85,4,4,0.00,243.31,0.00
108.162.194.1,4,4,0.00,254.32,0.00
190.93.247.113,4,4,0.00,286.62,0.00
190.93.245.188,4,4,0.00,300.53,0.00
108.162.192.217,4,4,0.00,302.76,0.00
108.162.193.28,4,4,0.00,320.54,0.00
190.93.244.94,4,4,0.00,326.48,0.00
141.101.115.73,4,4,0.00,343.84,0.00
141.101.114.251,4,4,0.00,437.99,0.00
173.245.49.24,4,3,0.25,219.83,0.00
173.245.58.100,4,3,0.25,230.30,0.00
141.101.123.4,4,3,0.25,233.19,0.00
173.245.59.48,4,3,0.25,244.66,0.00
188.114.99.30,4,3,0.25,248.19,0.00
108.162.196.212,4,3,0.25,306.69,0.00
103.21.244.169,4,3,0.25,329.22,0.00
188.114.98.226,4,2,0.50,257.18,0.00
108.162.195.236,4,2,0.50,429.08,0.00
