IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.16.36.181,4,4,0.00,180.24,0.00
104.16.44.129,4,4,0.00,187.77,0.00
104.16.38.165,4,4,0.00,187.91,0.00
104.16.32.104,4,4,0.00,188.96,0.00
104.16.46.217,4,4,0.00,189.52,0.00
104.16.47.88,4,4,0.00,191.44,0.00
104.16.34.24,4,4,0.00,195.62,0.00
104.16.43.100,4,4,0.00,195.63,0.00
104.16.33.82,4,4,0.00,195.66,0.00
104.16.42.28,4,4,0.00,195.80,0.00
104.16.40.142,4,4,0.00,196.42,0.00
104.16.49.62,4,4,0.00,197.55,0.00
198.41.212.41,4,4,0.00,198.33,0.00
104.16.35.210,4,4,0.00,202.64,0.00
104.16.37.245,4,4,0.00,203.42,0.00
104.16.39.65,4,4,0.00,204.91,0.00
104.16.45.6,4,4,0.00,205.06,0.00
104.16.41.9,4,4,0.00,205.82,0.00
104.16.48.154,4,4,0.00,206.73,0.00
173.245.49.221,4,4,0.00,226.09,0.00
173.245.58.123,4,4,0.00,228.16,0.00
198.41.200.154,4,4,0.00,229.74,0.00
141.101.122.119,4,4,0.00,232.20,0.00
198.41.203.100,4,4,0.00,233.04,0.00
141.101.121.120,4,4,0.00,234.66,0.00
198.41.205.242,4,4,0.00,236.88,0.00
198.41.214.163,4,4,0.00,238.19,0.00
198.41.194.55,4,4,0.00,239.45,0.00
141.101.120.169,4,4,0.00,241.88,0.00
141.101.90.153,4,4,0.00,242.48,0.00
198.41.207.31,4,4,0.00,242.54,0.00
108.162.194.89,4,4,0.00,248.60,0.00
173.245.59.68,4,4,0.00,280.20,0.00
103.21.244.124,4,4,0.00,290.90,0.00
198.41.197.135,4,4,0.00,295.84,0.00
198.41.192.197,4,4,0.00,299.19,0.00
104.16.19.32,4,4,0.00,303.87,0.00
190.93.246.9,4,4,0.00,304.41,0.00
104.16.24.124,4,4,0.00,312.63,0.00
104.16.26.182,4,4,0.00,325.42,0.00
198.41.204.135,4,4,0.00,325.50,0.00
104.16.28.47,4,4,0.00,329.00,0.00
190.93.247.183,4,4,0.00,340.06,0.00
104.16.29.77,4,4,0.00,344.91,0.00
198.41.211.238,4,4,0.00,347.97,0.00
104.16.27.143,4,4,0.00,356.63,0.00
104.16.22.145,4,4,0.00,360.76,0.00
104.16.25.144,4,4,0.00,369.18,0.00
104.16.21.109,4,4,0.00,370.70,0.00
190.93.244.185,4,4,0.00,373.66,0.00
104.16.20.88,4,4,0.00,379.30,0.00
104.16.30.209,4,4,0.00,390.09,0.00
198.41.208.181,4,4,0.00,407.20,0.00
190.93.245.128,4,4,0.00,413.83,0.00
104.16.167.237,4,4,0.00,433.98,0.00
198.41.209.243,4,4,0.00,434.14,0.00
104.16.31.221,4,4,0.00,444.24,0.00
198.41.202.161,4,3,0.25,238.31,0.00
198.41.196.120,4,3,0.25,238.90,0.00
198.41.195.190,4,3,0.25,241.23,0.00
108.162.196.91,4,3,0.25,241.86,0.00
198.41.193.136,4,3,0.25,243.34,0.00
108.162.192.127,4,3,0.25,245.83,0.00
108.162.195.219,4,3,0.25,247.17,0.00
198.41.198.15,4,3,0.25,270.05,0.00
198.41.206.88,4,3,0.25,292.79,0.00
104.16.23.181,4,3,0.25,293.51,0.00
198.41.199.65,4,3,0.25,344.27,0.00
108.162.198.178,4,3,0.25,380.91,0.00
141.101.123.44,4,2,0.50,211.96,0.00
108.162.193.25,4,2,0.50,240.05,0.00
188.114.98.244,4,2,0.50,245.16,0.00
198.41.201.2,4,2,0.50,246.82,0.00
188.114.99.69,4,2,0.50,249.29,0.00
